id,name,menu,menu_title,doc,device,mixer_device,"Hydraulic
Circuit
Diagram",label_en,label_de,type,unit,scale,values,increment,default,read,write,comment
0x0199,version_major,,(All Devices),,,,,Major version,Major Version,i16,,,,,,TRUE,FALSE,Softwarenummer
0x019a,version_minor,,(All Devices),,,,,Minor version,Minor Version,i16,,,,,,TRUE,FALSE,Softwareindex
0x024b,version_patch,,(All Devices),,,,,Patch version,Patch Version,i16,,,,,,TRUE,FALSE,cSOFTWARE_UNTERINDEX
0x000c,outside_temp,3.2.4,Start screen,3.2.4,HG1,,,Outside temperature,Außentemperatur,dec,C,10,,,,TRUE,FALSE,
0x0061,status_compressor,3.2.4,Operation,3.2.4,Outdoor,,,Status compressor,Status Kompressor,bool,,,,,,TRUE,FALSE,
0x0112,operating_mode,4.1,OperatingMode,7.2,HG1,HC2,,Operating mode,Betriebsart,enum8,,,OperatingMode,,,TRUE,TRUE,
0x0005,room_temp_target_1,4.2.1,User :: Room,7.3.1,HC1,HC2,,Room temperature target 1,Raumtemperatur Soll 1,dec,C,10,5-40,0.5,20,TRUE,TRUE,
0x0006,room_temp_target_2,4.2.1,User :: Room,7.3.1,HC1,HC2,,Room temperature target 2,Raumtemperatur Soll 2,dec,C,10,5-40,0.5,20,TRUE,TRUE,
0x0007,room_temp_target_3,4.2.1,User :: Room,7.3.1,HC1,HC2,,Room temperature target 3,Raumtemperatur Soll 3,dec,C,10,5-40,0.5,20,TRUE,TRUE,
0x0008,reduce_room_temp,4.2.2,User :: Reduce,7.3.2,HC1,HC2,,Reduce room temperature,Raumtemperatur Absenken,dec,C,10,5-40,0.5,15,TRUE,TRUE,
0x013d,room_temp_absent,4.2.3,User :: Absent,7.3.3,HC1,HC2,,Room temperature absent,Raumtemperatur Abwesend,dec,C,10,5-40,0.5,15,TRUE,TRUE,
0x0013,hot_water_temp_target_1,4.2.4,User :: Hot water,7.3.4,HG1,,,Hot water temperature target 1,Warmwassertemperatur Soll 1,dec,C,10,35-70,0.5,48,TRUE,TRUE,
0x0a06,hot_water_temp_target_2,4.2.4,User :: Hot water,7.3.4,HG1,,,Hot water temperature target 2,Warmwassertemperatur Soll 2,dec,C,10,35-70,0.5,48,TRUE,TRUE,
0x013e,hot_water_temp_target_3,4.2.4,User :: Hot water,7.3.4,HG1,,,Hot water temperature target 3,Warmwassertemperatur Soll 3,dec,C,10,35-70,0.5,48,TRUE,TRUE,
